Track ID,Artist ID
0,0
1,1
2,1038
2,2809
3,2
4,3
5,856
5,2810
6,4
7,5
8,6
9,7
10,8
11,9
12,10
13,11
14,12
15,1689
15,448
15,2811
16,13
17,14
18,15
19,16
20,17
21,18
22,19
23,2378
23,2812
24,20
25,21
26,22
27,23
28,14
29,24
30,25
31,26
32,149
32,1689
33,27
34,28
35,29
36,19
37,30
38,31
39,32
40,33
41,34
42,35
43,36
44,37
45,38
46,39
47,40
48,41
49,42
50,1122
50,2813
51,43
52,44
53,45
54,1156
54,646
55,46
56,47
57,48
58,49
59,50
60,2814
60,2815
60,958
61,51
62,52
63,26
64,1163
64,2816
65,53
66,54
67,55
68,56
69,57
70,58
71,2716
71,2817
72,59
73,60
74,2818
74,368
75,61
76,1292
76,413
77,62
78,63
79,64
80,65
81,66
82,67
83,16
84,68
85,69
86,70
87,1377
87,474
88,71
89,1009
89,852
89,2819
90,72
91,73
92,1689
92,2820
93,74
94,798
94,2821
95,75
96,76
97,77
98,78
99,79
100,80
101,81
102,1524
102,4
103,82
104,80
105,29
106,83
107,84
108,85
109,86
110,87
111,88
112,2822
112,2823
113,89
114,90
115,91
116,92
117,93
118,94
119,95
120,96
121,59
122,97
123,98
124,1271
124,2824
125,99
126,100
127,2825
127,1003
128,95
129,2826
129,2827
130,101
131,102
132,103
133,104
134,105
135,679
135,545
136,106
137,217
137,113
138,107
139,464
139,2828
140,30
140,2829
141,1540
141,2830
142,108
143,109
144,110
145,5
146,111
147,110
148,112
149,31
150,113
151,625
151,2814
152,2831
152,2832
153,114
154,115
155,116
156,117
157,1163
157,2833
158,118
159,2834
159,1809
160,119
161,120
162,119
163,121
164,122
165,21
166,123
167,124
168,125
169,126
170,127
171,128
172,129
173,51
174,130
175,131
176,178
176,408
177,132
178,2835
178,2836
179,133
180,134
181,135
182,136
183,121
184,137
185,300
185,762
186,104
186,1148
187,138
188,100
189,139
190,140
191,104
191,1148
192,141
193,142
194,143
195,1387
195,2837
196,115
196,217
196,837
197,144
198,145
199,2838
199,1483
200,146
201,144
202,147
203,148
204,149
205,150
206,151
207,42
208,51
208,33
209,152
210,416
210,2839
211,153
212,154
213,119
214,155
215,156
216,157
217,158
218,159
219,160
220,161
221,2814
221,776
222,162
223,163
224,164
225,284
225,236
226,33
227,165
228,166
229,33
230,167
231,168
232,2840
232,2841
233,169
234,170
235,171
236,172
237,173
238,174
239,175
240,176
241,177
242,178
243,179
244,180
245,181
246,182
247,2842
247,2843
248,183
249,184
250,185
251,186
252,2814
252,2844
253,187
254,188
255,113
256,189
257,190
258,1039
258,2845
259,191
260,192
261,193
262,2846
262,1861
262,2847
263,244
263,2848
264,194
265,2849
265,2850
266,144
267,195
268,196
269,197
270,198
271,199
272,200
273,199
274,201
275,202
276,203
277,97
278,204
279,205
280,206
281,715
281,2851
282,140
283,207
284,149
285,208
286,178
287,209
288,210
289,211
290,212
291,752
291,2852
291,2853
292,213
293,214
294,215
295,216
296,217
297,218
298,2854
298,1165
298,137
299,219
300,220
301,221
302,222
303,2855
303,2856
304,223
305,224
306,225
307,226
308,227
309,26
309,2857
309,2858
309,2859
310,228
311,189
312,229
313,151
314,230
315,231
316,232
317,233
318,234
319,2505
319,2860
320,117
321,235
322,187
323,126
324,236
325,166
326,237
327,2061
327,2444
328,238
329,239
330,240
331,115
332,241
333,242
334,243
335,33
336,244
337,245
338,2861
338,2862
339,246
340,247
341,248
342,249
343,149
344,140
345,250
346,251
347,252
348,253
349,254
350,2863
350,2864
351,255
352,256
353,257
354,194
355,258
356,259
357,260
358,113
358,905
359,261
360,262
361,104
362,263
363,264
364,46
365,265
366,125
367,266
368,267
369,268
370,269
371,270
372,271
373,272
374,273
375,175
375,2865
376,274
377,275
378,276
379,2846
379,871
380,277
381,278
382,279
383,280
384,281
385,5
386,282
387,283
388,284
389,285
390,286
391,287
392,288
393,289
394,290
395,291
396,292
397,182
398,274
398,814
399,293
400,294
401,274
402,295
403,2866
403,2389
403,2867
404,296
405,1093
405,1228
406,297
407,2846
407,631
408,298
409,92
410,2866
410,2389
410,2867
411,299
412,300
413,301
414,247
415,302
416,303
417,222
418,304
419,305
420,306
421,307
422,308
423,309
424,2868
424,2869
424,2811
425,90
426,180
426,1185
426,2870
427,310
428,311
429,80
430,312
431,313
432,1099
432,1147
433,168
434,314
435,315
436,316
437,317
438,318
439,2871
439,2872
440,319
441,320
442,321
443,322
444,738
444,2873
445,323
446,324
447,325
448,326
449,327
450,272
451,328
452,2854
452,2874
453,253
454,852
454,113
455,1203
455,2875
456,329
457,330
458,331
459,332
460,84
461,333
462,2854
462,2876
462,2877
463,334
464,335
465,336
466,646
466,1000
467,337
468,338
469,210
470,339
471,175
472,52
473,340
474,341
475,342
476,343
477,344
478,345
479,2878
479,2879
480,346
481,347
482,1148
482,2880
483,348
484,2881
484,2882
485,349
486,345
487,350
488,113
488,368
488,835
489,351
490,352
491,353
492,178
493,192
494,354
495,355
496,120
497,356
498,357
499,358
500,359
501,360
502,361
503,1728
503,187
504,2855
504,4
505,2852
505,2813
505,584
506,362
507,363
508,364
509,23
510,365
511,366
512,367
513,1483
513,2883
513,2825
514,2884
514,2885
515,368
516,369
517,370
518,371
519,370
520,372
521,373
522,374
523,375
524,376
525,2886
525,2887
526,0
527,2814
527,251
528,185
529,2109
529,2846
530,377
531,378
532,2888
532,2889
533,32
534,379
535,2852
535,2890
535,2891
536,239
537,380
538,381
539,175
540,2852
540,584
540,2813
541,333
542,382
543,383
544,384
545,140
546,385
547,386
548,175
549,2415
549,2892
550,157
551,387
552,388
553,389
554,2893
554,2894
555,390
556,391
557,2895
557,2896
558,392
559,393
560,394
561,395
562,396
563,235
564,375
565,397
566,398
567,399
568,400
569,401
570,402
571,403
572,404
573,100
574,405
575,54
576,406
577,407
578,408
579,409
580,376
581,410
582,63
582,646
583,2534
583,715
584,404
585,411
586,1253
586,1611
587,412
588,413
589,414
590,415
591,416
592,417
593,418
594,852
594,2490
595,419
596,149
597,420
598,421
599,346
600,2897
600,2898
601,422
602,149
603,182
604,423
605,424
606,425
607,138
608,410
609,237
610,388
611,426
612,2899
612,2900
613,26
614,427
615,333
616,368
616,2539
617,428
618,299
619,429
620,430
621,2901
621,1637
621,306
621,1772
621,2902
621,2816
622,431
623,432
624,433
625,149
625,115
626,434
627,179
628,435
629,32
629,43
630,436
631,92
632,437
633,438
634,439
635,115
636,440
637,441
638,805
638,2852
639,442
640,45
641,2433
641,2903
642,443
643,2904
643,2905
644,444
645,445
646,922
646,2906
647,446
648,2907
648,2470
648,849
649,447
650,448
651,449
652,450
653,451
654,452
655,109
656,453
657,297
658,454
659,278
660,606
660,2908
661,455
662,100
663,456
664,457
665,458
666,459
667,852
667,1087
668,425
669,178
670,460
671,408
671,2909
672,461
673,462
674,463
675,2852
675,548
675,545
676,2910
676,1601
677,2852
677,137
677,2590
678,2208
678,2911
679,178
680,464
681,465
682,460
683,301
684,466
685,467
686,468
687,2912
687,2913
688,73
689,2899
689,2914
690,469
691,295
692,230
693,470
694,471
695,854
695,2915
696,472
697,382
698,473
699,2903
699,2916
700,474
701,475
702,237
703,476
704,477
705,478
706,479
707,2917
707,2918
708,480
709,481
710,1483
710,2919
711,2920
711,2921
711,2922
712,390
713,59
714,126
715,482
716,483
717,484
718,376
719,646
719,149
720,485
721,239
722,486
723,487
724,29
725,61
726,306
727,488
728,489
729,490
730,217
731,491
732,492
733,493
734,73
734,2923
735,494
736,495
737,479
738,2924
738,338
739,496
740,497
741,498
742,499
743,630
743,1239
744,500
745,501
746,16
747,502
748,54
749,503
750,72
751,504
752,505
753,506
754,507
755,508
756,1930
756,149
757,509
758,443
758,1611
759,304
760,510
761,511
762,125
763,512
764,242
765,513
766,2925
766,2926
767,253
768,291
769,835
769,1046
770,199
771,514
772,515
773,516
774,517
775,313
776,137
776,295
777,518
778,100
779,519
780,520
781,521
782,501
782,2886
783,522
784,523
785,524
786,146
787,525
788,269
789,526
790,527
791,528
792,499
793,185
794,1613
794,2927
795,529
796,530
797,531
798,1
799,102
800,532
801,533
802,196
803,534
804,535
805,536
806,537
807,113
808,538
809,306
810,539
811,540
812,2928
812,2929
813,837
813,2930
814,541
815,542
816,333
817,543
818,544
819,545
820,546
821,244
822,547
823,272
824,548
825,549
826,550
827,54
828,551
829,2903
829,491
830,552
831,553
832,554
833,2931
833,586
834,555
835,209
835,1627
836,556
837,557
838,2670
838,2932
839,214
840,558
841,559
842,2866
842,2389
842,2867
843,560
844,561
845,115
846,325
847,562
848,563
849,564
850,565
851,566
