"Track ID","Track Name","Album ID","Artist ID(s)","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time Signature","ISRC","Label","Spotify ID"
"60","Too Much (feat. Usher)","60","3062, 3063, 958","165704","https://p.scdn.co/mp3-preview/81cd8f86d708c9aa9f35489fd3ae3f191e5f8850?cid=9950ac751e34487dbbe027c4fd7f8e99","False","52","0.712","0.891","6","-2.76","0","0.0401","0.00415","0.0","0.258","0.735","126.012","4","USRC12003396","Joytime Collective/RCA Records/Effective Records","39umHdGKfpnjY4TFtnoQ51"
"61","Polaroid","61","51","150206","https://p.scdn.co/mp3-preview/18258a73147f10e7eed6de32a6d587b01136065b?cid=9950ac751e34487dbbe027c4fd7f8e99","False","24","0.791","0.744","8","-5.294","1","0.0549","0.598","0.0","0.163","0.836","117.057","4","USUG12000582","Capitol Records Nashville","3g2zKo9K0MymRmkn6fXWcr"
"62","Walk Right In","62","52","187066","https://p.scdn.co/mp3-preview/f711b62dff4e559d3ba7e7e01bc1998f6f24a33e?cid=9950ac751e34487dbbe027c4fd7f8e99","False","40","0.796","0.867","2","-10.568","1","0.037","0.0742","0.00195","0.226","0.881","114.87","4","USCA28700078","Capitol Records","0iyFZC2XuPdLpfQpUeli4H"
"63","Two Strong Hearts","31","26","212840","https://p.scdn.co/mp3-preview/22aef9beb14c26366f0b8bb47a4e6bc228ce457e?cid=9950ac751e34487dbbe027c4fd7f8e99","False","16","0.61","0.78","2","-9.393","1","0.0316","0.0212","0.0","0.309","0.841","109.856","4","AUBM08841001","BMG Music","4rRRVHoBP8v42QdOivhhfj"
"64","Work from Home (feat. Ty Dolla $ign)","63","1163, 3064","214480","https://p.scdn.co/mp3-preview/58fd9aa04f6972b8302f497dc6bb6160941c1e58?cid=9950ac751e34487dbbe027c4fd7f8e99","False","75","0.803","0.585","8","-5.861","1","0.0432","0.103","3.94e-06","0.0644","0.593","105.017","4","USSM11600251","Syco Music/Epic","4tCtwWceOPWzenK2HAIJSb"
"65","Hidden Agenda - New Mix","64","53","252600","https://p.scdn.co/mp3-preview/149191b47ed5595f41bf751e0480aa67947bc796?cid=9950ac751e34487dbbe027c4fd7f8e99","False","0","0.705","0.727","0","-6.237","1","0.0516","0.252","0.0","0.0795","0.616","96.071","4","GBAHT0800579","WM UK","40rOKDgEB0PoedLUQELRFi"
"66","Roar","65","54","223546","https://p.scdn.co/mp3-preview/d72636d23beb0e3c283ec8150b8f50f9b5b0d8a3?cid=9950ac751e34487dbbe027c4fd7f8e99","False","70","0.671","0.771","7","-4.821","0","0.0316","0.00492","7.28e-06","0.354","0.436","90.003","4","USUM71308669","Capitol Records (CAP)","6F5c58TMEs1byxUstkzVeM"
"67","Time After Time","66","55","241333","https://p.scdn.co/mp3-preview/36937f5e84f627d9b6b2380cb715e6ead0ecf52b?cid=9950ac751e34487dbbe027c4fd7f8e99","False","0","0.726","0.449","0","-9.206","1","0.0286","0.487","1.34e-06","0.0824","0.294","130.388","4","USSM18300650","Epic/Legacy","5tzbM8m70V977Ezpfk8IPS"
"68","Freak On a Leash","67","56","255733","https://p.scdn.co/mp3-preview/1748e7fff0689e02eed3deebaf7837afabbe8657?cid=9950ac751e34487dbbe027c4fd7f8e99","True","78","0.353","0.898","2","-5.877","1","0.052","2.23e-05","0.105","0.39","0.525","103.299","4","USSM19801755","Immortal/Epic","6W21LNLz9Sw7sUSNWMSHRu"
"69","Chulu Chululu","68","57","127680","https://p.scdn.co/mp3-preview/2495df2c487a6d880676c51e4f57eb8dced20570?cid=9950ac751e34487dbbe027c4fd7f8e99","False","2","0.449","0.95","9","-6.473","1","0.0886","0.359","0.00325","0.661","0.878","157.736","4","NZUM71400330","Universal Music New Zealand Limited","5YDP1MSGDD5k0pm7j5KjMM"
"70","Video Killed The Radio Star","69","58","253800","https://p.scdn.co/mp3-preview/0d0dbf059733ddc5252c7867827fa4e76961fd5e?cid=9950ac751e34487dbbe027c4fd7f8e99","False","62","0.675","0.61","1","-13.811","1","0.085","0.0852","0.0188","0.159","0.344","131.037","4","GBAAN7900013","Island Records","6t1FIJlZWTQfIZhsGjaulM"
"71","Lay Down (Candles In The Rain) - Long Version","70","2716, 3065","469933","https://p.scdn.co/mp3-preview/21160aa7c9423549e4a490a12eb501ce471eb37a?cid=9950ac751e34487dbbe027c4fd7f8e99","False","28","0.286","0.66","7","-13.243","1","0.0617","0.112","0.197","0.1","0.66","92.113","4","USBR17000001","RCA Camden","1mVTTCmWniYZrjHwHRqWyw"
"72","Poker Face","71","59","237200","https://p.scdn.co/mp3-preview/36abf77572983417d63a3aed8923d00e07167efa?cid=9950ac751e34487dbbe027c4fd7f8e99","False","81","0.851","0.806","4","-4.618","1","0.0787","0.119","1.72e-06","0.121","0.774","119.001","4","USUM70824409","Streamline/Interscope","1QV6tiMFM6fSOKOGLMHYYg"
