Track ID,Streams
2,"1,949,596,473"
17,"2,541,833,602"
30,"423,439,672"
32,"3,291,262,413"
48,"242,070,373"
64,"1,429,277,695"
66,"1,156,191,242"
72,"1,285,242,562"
92,"587,054,803"
112,"1,656,974,409"
116,"940,796,773"
132,"1,911,559,785"
133,"1,351,515,181"
137,"1,532,052,160"
141,"1,752,826,514"
145,"349,603,788"
151,"1,358,424,406"
154,"2,969,999,682"
176,"400,479,389"
179,"922,010,059"
185,"1,823,871,908"
186,"2,738,293,818"
191,"2,738,293,818"
204,"465,348,362"
221,"1,592,440,653"
247,"568,692,309"
252,"676,451,716"
269,"923,637,058"
298,"1,528,107,667"
306,"965,827,790"
338,"899,431,434"
343,"2,306,740,926"
346,"635,393,773"
348,"1,064,599,051"
358,"520,418,822"
361,"1,351,515,181"
365,"1,273,869,800"
376,"662,305,046"
385,"2,102,223,775"
401,"814,272,136"
420,"2,384,768,901"
453,"1,064,599,051"
473,"1,232,373,956"
479,"1,074,583,619"
482,"703,865,912"
483,"2,061,017,397"
488,"1,134,470,968"
521,"2,021,910,364"
527,"664,972,754"
535,"602,359,731"
554,"1,478,442,472"
561,"1,690,450,389"
565,"1,422,563,654"
586,"1,318,596,835"
596,"1,995,511,952"
606,"946,043,494"
608,"1,790,579,305"
631,"2,031,280,633"
643,"995,452,298"
648,"1,713,294,983"
650,"1,379,786,786"
660,"972,089,598"
667,"670,319,557"
668,"946,043,494"
673,"1,050,676,021"
677,"509,231,024"
681,"2,106,040,891"
699,"872,518,334"
705,"493,444,344"
708,"733,931,275"
719,"917,284,463"
726,"2,270,796,677"
742,"1,532,983,094"
743,"1,060,255,231"
745,"1,556,326,643"
756,"861,100,951"
776,"107,435,709"
785,"1,872,577,908"
800,"2,544,489,950"
807,"699,439,249"
827,"886,077,008"
829,"1,050,246,077"
858,"428,787,524"
859,"142,783,595"
870,"1,007,623,089"
872,"1,829,733,410"
873,"1,461,578,587"
899,"1,749,088,490"
905,"1,634,403,761"
907,"2,607,121,959"
914,"777,305,444"
917,"797,648,369"
934,"3,192,204,066"
939,"1,638,216,382"
940,"1,429,205,245"
968,"1,638,529,683"
980,"932,911,098"
984,"3,358,704,125"
1003,"2,011,121,774"
1046,"822,935,346"
1053,"371,288,040"
1064,"1,943,842,010"
1066,"2,313,532,702"
1096,"1,838,092,894"
1106,"1,184,536,529"
1110,"1,368,497,471"
1116,"66,843,778"
1121,"1,291,954,163"
1138,"912,294,568"
1147,"724,486,951"
1149,"1,015,502,663"
1153,"1,065,399,331"
1163,"930,004,605"
1185,"520,407,542"
1186,"2,830,962,669"
1192,"1,800,254,516"
1195,"508,463,163"
1201,"248,947,222"
1205,"1,888,829,482"
1206,"110,545,738"
1214,"2,325,017,580"
1233,"2,262,490,403"
1236,"447,761,883"
1237,"1,477,150,302"
1240,"2,086,460,781"
1242,"3,006,226,762"
