"Artist ID","Artist Name","Artist Genres","Spotify ID"
"122","Billy Swan","swamp pop","6nNkKMkPl1qBCEW3Al9eVV"
"123","The Dave Clark Five","british invasion,merseybeat","2HBbky0Z08ZcCKVsXWbNE4"
"124","Train","dance pop,neo mellow,pop,pop rock","3FUY2gzHeIiaesXtOAdB7A"
"125","Vanessa Amorosi","australian dance,australian pop,australian rock","5M0fvL9GMc2zTuIIQwresj"
"126","The Beatles","british invasion,classic rock,merseybeat,psychedelic rock,rock","3WrFJ7ztbogyGnTHbHJFl2"
"127","Ella Henderson","dance pop,pop dance,talent show,uk pop","7nDsS0l5ZAzMedVRKPP8F1"
"128","Dragon","australian rock,kiwi rock","622HMYOaiqowUmcd5t3b7t"
"129","The KLF","acid house,ambient house,big beat,hip house","6dYrdRlNZSKaVxYg5IrvCH"
"130","Percy Sledge","classic soul,rock-and-roll,soul,southern soul","3rRmDmzPcAFwcUDvG5gBqO"
"131","Grandmaster Flash & The Furious Five","bronx hip hop,old school hip hop","5hQCwevTf03u1rECrRMeop"
"132","Sneaky Sound System","australian dance,australian house,funktronica","6ieVhWXtOmK6DO6dmX7Eko"
"133","Morgan Wallen","contemporary country","4oUHIQIBe0LHzYfvXNW4QM"
"134","Johnny Logan","dansktop","27rXetqqGSi2spXzggwehc"
"135","Gene Vincent & His Blue Caps","rock-and-roll,rockabilly","7lKaTIgVek1R2lqpCulQmq"
"136","Midnight Oil","australian rock,new romantic","72KyoXzp0NOQij6OcmZUxk"
"137","Anne-Marie","pop","1zNqDE7qDGCsyzJwohVaoX"
"138","KC & The Sunshine Band","disco,mellow gold,new wave pop,soft rock,soul","3mQBpAOMWYqAZyxtyeo4Lo"
"139","The Cure","new wave,permanent wave,rock,uk post-punk","7bu3H8JO7d0UbMoVzbo70s"
"140","Madonna","dance pop,pop","6tbjWDEIzxoDsBA1FuhfPW"
"141","E.Y.C.","","6Q8cPPtM6vgTZO2iaVOjEk"
"142","Franz Ferdinand","alternative rock,dance rock,indie rock,modern rock,rock,scottish rock","0XNa1vTidXlvJ2gHSsRi4A"
"143","Taylor Dayne","freestyle,hi-nrg,new romantic,new wave pop,soft rock,synthpop","32lVGr0fSRGT6okLKHiP68"
"144","The Rolling Stones","album rock,british invasion,classic rock,rock","22bE4uQ6baNwSHPVcDxLCe"
"145","The Rubens","australian indie","2hrWpLNoJcs1EnWSXvB6JI"
"146","Leona Lewis","british soul,dance pop,pop,talent show","5lKZWd6HiSCLfnDGrq9RAm"
"147","Eagles","album rock,classic rock,heartland rock,mellow gold,rock,soft rock,yacht rock","0ECwFtbIWEVNwjlrfc6xoL"
"148","Marty Robbins","cowboy western,nashville sound","0Xi59sEw38vRvwleSAVqoo"
"149","The Weeknd","canadian contemporary r&b,canadian pop,pop","1Xyo4u8uXC1ZmMpatF05PJ"
"150","Dr. Alban","eurodance,europop,hip house","6BkcAbUkfIBM4XudxieMq8"
"151","The Ting Tings","alternative dance,dance-punk,electropop,neo-synthpop,new rave","2wvUfjKGoXvcnDHq7GgMOa"
"152","Placebo","alternative rock,britpop,permanent wave,rock","6RZUqkomCmb8zCRqc9eznB"
"153","Alannah Myles","classic canadian rock","6IYnSXO40Bh7Zdqhf6rQoj"
"154","Rogue Traders","australian dance,australian pop,australian rock,dance rock","3YUrEElXpqiPSbffh9XXZd"
"155","Patti Smith","art punk,permanent wave,protopunk,singer-songwriter","0vYkHhJ48Bs3jWcvZXvOrP"
"156","R.E.M.","alternative rock,athens indie,permanent wave,rock","4KWTAlx2RvbpseOGMEmROg"
"157","Eric Carmen","new wave pop,soft rock,yacht rock","2ekjTXgjxbWwBX5lTAj4DU"
"158","Lazaro's Dog","adelaide punk","6HGeVgbCIyLs0cD7SVykwQ"
"159","Gary Moore","blues rock,british blues,electric blues","23wr9RJZg0PmYvVFyNkQ4j"
"160","Havana Brown","australian dance,australian pop","1EVWYRr2obCRDoSoD6KSuM"
"161","Nickelback","alternative metal,canadian rock,post-grunge","6deZN1bslXzeGvOLaLMOIF"
"162","Do Re Mi","australian alternative rock,australian rock","0aRJShMkUsHVCyCw5Klxj3"
"163","Sixpence None The Richer","lilith,pop rock","0lJlKQvuM2Sd9DPPyUXcHg"
"164","Chase Martin","","4NOVe4Wki1UYTaKdC9OBOt"
"165","LeAnn Rimes","country,country dawn,country road","2d3VHzlOEwXvmBdS4pzOPL"
"166","Phil Collins","rock drums,soft rock","4lxfqrEsLX6N1N4OCSkILp"
"167","Steps","diva house,europop,talent show","17UkABEasVRlCcIFZ3wHb7"
"168","The Everly Brothers","adult standards,folk rock,mellow gold,rock-and-roll,rockabilly,sunshine pop","4ACplpEqD6JIVgKrafauzs"
"169","Bob Seger","album rock,classic rock,country rock,detroit rock,hard rock,heartland rock,mellow gold,rock,singer-songwriter,soft rock","485uL27bPomh29R4JmQehQ"
"170","Penny McLean","","2EqPo7BwJq5UJsE5nWqgrk"
"171","Friendly Fires","alternative dance,dance rock,dance-punk,electrofox,indietronica,neo-synthpop,new rave,nu disco","3mZqziCJj4pq3P2VBpmK6p"
"172","Tom Jones, The Art Of Noise","adult standards,british invasion,new romantic,synthpop","1T0wRBO0CK0vK8ouUMqEl5"
"173","Amy Grant","christian music","72Nhcx7prNk2ZCxhx0Y5es"
"174","The Smashing Pumpkins","alternative metal,alternative rock,grunge,permanent wave,rock,spacegrunge","40Yq4vzPs9VNUrIBG5Jr2i"
"175","Kylie Minogue","australian dance,australian pop,dance pop,eurodance,new wave pop","4RVnAU35WRWra6OZ3CbbMA"
"176","Charli xcx","art pop,candy pop,metropopolis,pop,uk pop","25uiPmTg16RbhZWAqwLBy5"
"177","Russell Watson","operatic pop","2hrfuB0LtVmFZ6MvPMIHTK"
"178","Elton John, Kiki Dee","glam rock,mellow gold,piano rock,rock,classic uk pop","3PhoLpVuITZKcymswpck5b"
"179","Savage Garden","boy band,dance pop,pop rock","3NRFinRTEqUCfaTTZmk8ek"
"180","Ultra Naté","diva house,garage house,vocal house","1cK2Abwkni7m51wJCSGllN"
"181","Sunset City","australian electropop","1MYRPpeCETOc6MOoowNM3y"
"182","Steve Miller Band","album rock,classic rock,hard rock,heartland rock,mellow gold,rock,singer-songwriter,soft rock","6QtGlUje9TIkLrgPZrESuk"
"183","Culture Club","new romantic,new wave,new wave pop,soft rock,synthpop","6kz53iCdBSqhQCZ21CoLcc"
"184","Billy Thorpe & The Aztecs","australian rock","4Zwtv7Mc3eHv465GJ6au6n"
"185","Bon Jovi","glam metal,rock","58lV9VcRSjABbAbfWS6skp"
"186","Dave Berry","british invasion","0wPdF6oU9sRm16BNvWfyRR"
"187","Michael Bublé","adult standards,canadian pop,jazz pop,lounge","1GxkXlMwML1oSg5eLPiAz3"
"188","Fuel","alternative metal,nu metal,post-grunge","0EyuKHE1AeE9lWUF8mzKVp"
"189","The Potbelleez","aussietronica,australian dance,australian house","34sQ4BJAwfwQsn9OgJtIzj"
"190","Donovan","british folk,british invasion,classic rock,folk,folk rock,glam rock,psychedelic folk,psychedelic rock,scottish singer-songwriter,singer-songwriter","6vLlQYujOujIrm7zAKzEdG"
"191","Lionel Richie","soft rock","3gMaNLQm7D9MornNILzdSl"
"192","Tones And I","australian pop","2NjfBq1NflQcKSeiDooVjY"
"193","Timbaland, Justin Timberlake, Nelly Furtado","dance pop,pop,pop rap,dance pop,pop,canadian latin,canadian pop,dance pop,pop","5Y5TRrQiqgUO4S36tzjIRZ"
"194","Billy Joel","album rock,classic rock,mellow gold,piano rock,rock,singer-songwriter,soft rock","6zFYqv1mOsgBRQbae3JJ9e"
"195","Muse","alternative rock,modern rock,permanent wave,rock","12Chz98pHFMPJEknJQMWvI"
"196","The Pointer Sisters","disco,girl group,hi-nrg,motown,new wave pop,soft rock","2kreKea2n96dXjcyAU9j5N"
"197","Empire Of The Sun","australian dance,australian electropop,dance rock,indietronica,neo-synthpop","67hb7towEyKvt5Z8Bx306c"
"198","Pearl Jam","alternative metal,alternative rock,classic rock,grunge,hard rock,permanent wave,rock","1w5Kfo2jwwIPruYS2UWh56"
"199","Black Eyed Peas, The World","dance pop,pop,pop rap","1yxSLGMDHlW21z4YXirZDS"
"200","Earth\, Wind & Fire, The Emotions","disco,funk,jazz funk,motown,soul,chicago soul,classic soul,disco,funk,girl group,motown,post-disco,quiet storm,soul,southern soul","4QQgXkCYTt3BlENzhyNETg"
"201","Ace of Base","eurodance,europop,new wave pop","5ksRONqssB7BR161NTtJAm"
"202","Cage The Elephant","modern alternative rock,modern rock,pov: indie,punk blues,rock","26T3LtbuGT1Fu9m0eRq5X3"
"203","Liam Gallagher","britpop,britpop revival,solo wave","6sN51vEARnAAdBw1IKZ8Q9"
"204","Jessie Ware","british soul,electropop,neo soul,pop soul,uk pop","5Mq7iqCWBzofK39FBqblNc"
"205","The Orlons","classic girl group,doo-wop,rhythm and blues","7JSIM5U7TZym5M3Q1AFG80"
"206","The Getaway Plan","australian alternative rock","5JmeloS88DjYXJulG7qgwF"
"207","Glen Campbell","adult standards,arkansas country,classic country pop,folk rock,mellow gold,nashville sound,singer-songwriter,soft rock","59hLmB5DrdihCYtNeFeW1U"
"208","Monte Video","","5MJAppfS5mnKHGtfQIjJI4"
"209","Guy Sebastian","australian pop","5PjekOABtfU2Kwo0AHVmci"
"210","The Supremes","adult standards,classic girl group,classic soul,disco,motown,soul","57bUPid8xztkieZfS7OlEV"
"211","Kate Miller-Heidke","australian pop,australian singer-songwriter,lilith,piano rock","6sfUgwUTFjy1SNF2uWOcPp"
"212","Andy Gibb","disco,mellow gold,soft rock","4YPqbAiLzBg5DIfsgQZ8QK"
"213","Little Cesar & The Romans","","0AOfW8WQA50p9xVrK58lDz"
"214","Steely Dan","album rock,classic rock,country rock,folk rock,mellow gold,rock,soft rock,yacht rock","6P7H3ai06vU1sGvdpBwDmE"
"215","Gary U.S. Bonds","rhythm and blues","1Qw8MHpjYxm9Xf0O1ZfPiX"
"216","Thandi Phoenix","australian electropop","3PAjYEQ8KpL6u0fNDR0p1v"
"217","Eminem","detroit hip hop,hip hop,rap","7dGJo4pcD2V6oG8kP0tJRR"
"218","Bachelor Girl","australian pop,australian rock","4KQNF34GIZZWL10tS3XNTk"
"219","Leo Sayer","mellow gold,soft rock","04LIHk1SobiQwt2tlupoAV"
"220","Birdy","neo mellow,uk pop,viral pop","2WX2uTcsvV5OnS0inACecP"
"221","Manfred Mann's Earth Band","album rock,art rock,blues rock,british blues,classic rock,folk rock,hard rock,mellow gold,progressive rock,soft rock,symphonic rock","2utNxkLhreF1oIfO8kQT3q"
"222","The Church","australian rock,dream pop,new romantic,new wave","2ZfogSsOWP4mVfEqfpLXCt"
"223","Birds Of Tokyo","australian alternative rock,australian indie,australian pop,australian rock,perth indie","25ou7Y6W7L1fcMoCZMbf86"
"224","Serena Ryder","canadian indie,canadian pop,canadian singer-songwriter,ontario indie,pop quebecois","3jmxkI8Jhv8bHOd2qSiU9j"
"225","Nico & Vinz, Kid Ink, Bebe Rexha","afrobeats,pop rap,rap,southern hip hop,trap,dance pop,pop","0awl5piYwO0CDTHEkCjUhn"
"226","Bill Blacks Combo","","4Vm2YhEoOSnOLqDPmHbUSh"
"227","Las Ketchup","flamenco electronica","1e8GEl48ktvfDpruMKB6Oe"
"228","Absolutely Fabulous","","03wx6Q0Osk88eyEyZjCk6e"
"229","The Verve","britpop,permanent wave,rock,shoegaze","2cGwlqi3k18jFpUyTrsR84"
"230","Journey","album rock,classic rock,hard rock,mellow gold,rock,soft rock","0rvjqX7ttXeg3mTy8Xscbt"
"231","Matter Of Mind","manchester indie","0OUKObtDiU0yOxyns51bpb"
"232","M2M","candy pop,girl group,norwegian pop","0ZzYDST6Dib7iYd8hmcLcH"
"233","Tenacious D","alternative metal,comedy rock,comic,comic metal,parody","1XpDYCrUJnvCo9Ez6yeMWh"
"234","Jo Jo Zep and The Falcons","australian rock","063AxhAs6zx8UYdPahb5Gi"
"235","ABBA","europop,swedish pop","0LcJLqbBmaGUft1e9Mm8HV"
"236","Labrinth","indie poptimism,pop","2feDdbD5araYcm6JhFHHw7"
"237","Good Charlotte","alternative metal,modern rock,neon pop punk,pop punk,pop rock,post-grunge","5aYyPjAsLj7UzANzdupwnS"
"238","DEVO","alternative rock,art punk,dance rock,new romantic,new wave,new wave pop,post-punk,synth punk,synthpop,zolo","0UKfenbZb15sqhfPC6zbt3"
"239","Queen","classic rock,glam rock,rock","1dfeR4HaWDbWqFHLkxsg1d"
"240","The Marcels","doo-wop,rhythm and blues,rock-and-roll","1JQYskbOoudT9cylam24a3"
"241","Mandy Moore","dance pop,hollywood,neo mellow,post-teen pop","2LJxr7Pt3JnP60eLxwbDOu"
"242","Christina Aguilera","dance pop,pop","1l7ZsJRRS8wlW3WfJfPfNS"
"243","Willie Nelson","classic country pop,classic texas country,country,country rock,nashville sound,outlaw country,singer-songwriter","5W5bDNCqJ1jbCgTxDD0Cb3"
"244","Dua Lipa","dance pop,pop,uk pop","6M2wZ9GZgrQXHCFfjv46we"
"245","Bobby Brown","contemporary r&b,new jack swing,r&b,urban contemporary","62sPt3fswraiEPnKQpAbdE"
"246","Edison Lighthouse","","1NRzxuPpdGushT8YmF5NAa"
"247","Creedence Clearwater Revival","album rock,classic rock,country rock,mellow gold,rock,southern rock,swamp rock","3IYUhFvPQItj6xySrBmZkd"
"248","Maria McKee","","30GIF9g2UJ1ifn45kSMTFf"
"249","Bastille","metropopolis,modern rock,pop","7EQ0qTo7fWT7DPxmxtSYEc"
"250","Scouting For Girls","talent show","2wpJOPmf1TIOzrB9mzHifd"
"251","Halsey","electropop,etherpop,indie poptimism,pop","26VFTg2z8YR0cCuwLzESi2"
"252","KISS","glam rock,hard rock,rock","07XSN3sPlIlB2L2XNcTwJw"
"253","Adele","british soul,pop,pop soul,uk pop","4dpARuHxo51G3z768sgnrY"
"254","Donna Summer","disco,hi-nrg,new wave pop,soft rock","2eogQKWWoohI3BSnoG7E2U"
"255","Dave Dee\, Dozy\, Beaky\, Mick & Tich","british invasion","3tKmZgJAXrog8SnYpzWSbe"
"256","SNAP!","diva house,eurodance,german techno,hip house","2FrKQPjJe4pVMZOgm0ESOx"
"257","Silentó","chicago bop,pinoy hip hop","7juKTDFlPesGeWQ1GmjmOv"
"258","Britney Holmes","","2yYwj3KocGouUipLjS8yKr"
"259","Pete Shelley","solo wave,synthpop,uk post-punk","7r2lG8Ui6vGHAgsKlE8Hd8"
"260","Masked Wolf","australian hip hop","1uU7g3DNSbsu0QjSEqZtEd"
"261","Felix","hardcore techno,hip house,rave","6iRRErKYy1iojOaJoq6Ltk"
"262","Reece Mastin","australian pop,australian talent show","6pjod8SsOOGf6GW9tfEnH1"
"263","Bay City Rollers","bubblegum pop","3r9TXuXfOUxXjgYgAR0fP8"
"264","The Reels","australian rock","3aAUu37qACrKr6h9eQyNVj"
"265","The Lumineers","folk-pop,modern rock,neo mellow,stomp and holler","16oZKvXb6WkQlVAjwo2Wbg"
"266","The Guess Who","album rock,classic canadian rock,classic rock,country rock,folk rock,hard rock,mellow gold,rock,singer-songwriter,soft rock","0cQuYRSzlItquYxsQKDvVc"
"267","Des O'Connor","classic uk pop,merseybeat","3C5hjzfOs3mSIhWhLl5Tni"
